id,name,description,collection,role,rarity,image
S22_PCharm003,Iridescent Repressed Alliance Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S22_PCharm003.png
S23_PCharm001,Iridescent Visionary Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S23_PCharm001.png
S23_PCharm002,Iridescent Desperate Measures Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S23_PCharm002.png
S23_PCharm003,Iridescent Built to Last Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S23_PCharm003.png
S24_PCharm001,Iridescent Appraisal Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S24_PCharm001.png
S24_PCharm002,Iridescent Deception Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S24_PCharm002.png
S24_PCharm003,Iridescent Power Struggle Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S24_PCharm003.png
S25_PCharm001,Iridescent Fast Track Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S25_PCharm001.png
S25_PCharm002,Iridescent Smash Hit Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S25_PCharm002.png
S25_PCharm003,Iridescent Self-Preservation Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S25_PCharm003.png
S26_PCharm001,Iridescent Counterforce Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S26_PCharm001.png
S26_PCharm002,Iridescent Resurgence Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S26_PCharm002.png
S26_PCharm003,Iridescent Blast Mine Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S26_PCharm003.png
S27_PCharm001,Iridescent Bite the Bullet Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S27_PCharm001.png
S27_PCharm002,Iridescent Flashbang Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S27_PCharm002.png
S27_PCharm003,Iridescent Rookie Spirit Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S27_PCharm003.png
S28_PCharm001,Iridescent Clairvoyance Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S28_PCharm001.png
S28_PCharm002,Iridescent Boon: Circle of Healing Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S28_PCharm002.png
S28_PCharm003,Iridescent Boon: Shadow Step Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S28_PCharm003.png
S29_PCharm001,Iridescent Overcome Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S29_PCharm001.png
S29_PCharm002,Iridescent Corrective Action Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S29_PCharm002.png
S29_PCharm003,Iridescent Boon: Exponential Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S29_PCharm003.png
S30_PCharm001,Iridescent Parental Guidance Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S30_PCharm001.png
S30_PCharm002,Iridescent Empathic Connection Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S30_PCharm002.png
S30_PCharm003,Iridescent Boon: Dark Theory Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S30_PCharm003.png
S31_PCharm001,Iridescent Inner Focus Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S31_PCharm001.png
S31_PCharm002,Iridescent Residual Manifest Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S31_PCharm002.png
S31_PCharm003,Iridescent Overzealous Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S31_PCharm003.png
S32_PCharm001,Iridescent Wiretap Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S32_PCharm001.png
S32_PCharm002,Iridescent Reactive Healing Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S32_PCharm002.png
S32_PCharm003,Iridescent Low Profile Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S32_PCharm003.png
S33_PCharm001,Iridescent Better Than New Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S33_PCharm001.png
S33_PCharm002,Iridescent Reassurance Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S33_PCharm002.png
S33_PCharm003,Iridescent Hyperfocus Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S33_PCharm003.png
S34_PCharm001,Iridescent Potential Energy Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S34_PCharm001.png
S34_PCharm002,Iridescent Fogwise Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S34_PCharm002.png
S34_PCharm003,Iridescent Quick Gambit Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S34_PCharm003.png
TO_001,Bronze Primus Coin,An item originating from Terra Primus and manifested by the Rift. Something about the structure depicted on it feels powerful and imposing.,Reckoning,General,Uncommon,images/Customization/Charms/TO_001.png
TO_002,Silver Primus Coin,An item originating from Terra Primus and manifested by the Rift. The third eye seems to imply deep-seeded knowledge or perhaps a psychic connection.,Reckoning,General,Rare,images/Customization/Charms/TO_002.png
TO_003,Gold Primus Coin,An item originating from Terra Primus and manifested by the Rift. There is something reassuring about the golden scarab upon it.,Reckoning,General,Very Rare,images/Customization/Charms/TO_003.png
TO_004,Iridescent Primus Coin,An item originating from Terra Primus and manifested by the Rift. The flower radiates with luminous light.,Reckoning,General,Ultra Rare,images/Customization/Charms/TO_004.png
TO_005,Winter Flake,"A symbol of winter, cold to the touch.",The Chilling Season,Survivor,Uncommon,images/Customization/Charms/TO_005.png
TO_006,Brass Slugger,"David enjoyed a good ol' fashioned dust-up, but when things got out of hand, the brass came out.",Survivor Memorabilia,Survivor,Rare,images/Customization/Charms/TO_006.png
TO_007,Livvy Award,And the winner for outstanding information series is… Jane Romero!,Survivor Memorabilia,Survivor,Rare,images/Customization/Charms/TO_007.png
TO_008,David King Figurine,"A short-tempered brawler, David enjoyed starting his day with a pint and a punch-up.",Vinyl Dolls,Survivor,Very Rare,images/Customization/Charms/TO_008.png
TO_009,Holiday Tree,A tree of light for the long winter nights.,WINTER CHEER,General,Uncommon,images/Customization/Charms/TO_009.png
TO_010,Kendo Trophy,A humble prize awarded after a string of exhausting battles.,Killer Memorabilia,Killer,Rare,images/Customization/Charms/TO_010.png
TO_011,Last Gasp,Something dark in her family's past suffocates the bloodline.,Horrible Dolls,Killer,Very Rare,images/Customization/Charms/TO_011.png
TO_012,Lunar Rat,"A clever creature, one can't help but admire its ability to thrive in nearly any land.",Lunar New Year 2020,General,Special Event,images/Customization/Charms/TO_012.png
TO_013,Longevity Blessing,Wishing longevity in a realm of terror and torture may be more akin to a curse.,Lunar New Year 2020,General,Special Event,images/Customization/Charms/TO_013.png
TO_014,Blood Moon,So begins the cycle anew…,Lunar New Year 2020,General,Common,images/Customization/Charms/TO_014.png
TO_015,Frosted Man,"Without a magic hat, the snowman is fortunate enough to not have a soul to be beaten, worn, and broken.",The Chilling Season,General,Common,images/Customization/Charms/TO_015.png
TO_016,Cand-eye Cane,A unique solution for those who want more murder in their Christmas holidays.,The Chilling Season,General,Rare,images/Customization/Charms/TO_016.png
TO_017,Clapperboard,"5, 4, 3… ""I'm Jane Romero, and that is it for us today. We'll leave you with Corral Harp and a cut off her new album.""",Survivor Memorabilia,Survivor,Common,images/Customization/Charms/TO_017.png
TO_018,Omamori Amulet,"A charm for warding off evil, Kazan wore it when he left home to fulfill his destiny.",Killer Memorabilia,Killer,Uncommon,images/Customization/Charms/TO_018.png
TO_019,Gore Flake,There's something striking about how blood contrasts against a snowy white sheet.,The Chilling Season,Killer,Uncommon,images/Customization/Charms/TO_019.png
TO_020,Adrenal Glands,The Doctor rejected notions that his job was simple torture. This was science.,Killer Memorabilia,Killer,Rare,images/Customization/Charms/TO_020.png
TO_021,Lunar Lantern,A light to guide your way into the new lunar cycle.,Lunar New Year 2020,General,Ultra Rare,images/Customization/Charms/TO_021.png
TO_022,Bokjumeoni,A lucky silk bag that carries good fortune.,Lunar New Year 2020,General,Rare,images/Customization/Charms/TO_022.png
TO_023,Keshitsubo Bonsai,"There may be potential, but it's overgrown with doubt.",Adapt & Overcome,Killer,Common,images/Customization/Charms/TO_023.png
TO_024,Shito Bonsai,"A watchful eye can see growth, slight as it may be.",Adapt & Overcome,Killer,Common,images/Customization/Charms/TO_024.png
TO_025,Mame Bonsai,The sprigs press forward with quiet confidence.,Adapt & Overcome,Killer,Common,images/Customization/Charms/TO_025.png
TO_026,Shohin Bonsai,The branches expand upon the sturdy base.,Adapt & Overcome,Killer,Common,images/Customization/Charms/TO_026.png
TO_027,Komono Bonsai,"The roots tear through the dirt, strangling all they encounter.",Adapt & Overcome,Killer,Uncommon,images/Customization/Charms/TO_027.png
TO_028,Sleeping Lion,"A powerful beast, spoiled on arrogance.",Adapt & Overcome,Survivor,Common,images/Customization/Charms/TO_028.png
TO_029,Waking Lion,"A powerful beast, relegated to the barren plains.",Adapt & Overcome,Survivor,Common,images/Customization/Charms/TO_029.png
TO_030,Alert Lion,"A powerful beast, saved from extinction.",Adapt & Overcome,Survivor,Common,images/Customization/Charms/TO_030.png
TO_031,Roaring Lion,"A powerful beast, savage and bloody.",Adapt & Overcome,Survivor,Common,images/Customization/Charms/TO_031.png
TO_032,Raging Lion,"A powerful beast, loyal and respected.",Adapt & Overcome,Survivor,Uncommon,images/Customization/Charms/TO_032.png
TO_033,Winter Tree,Reminder of a time when the only thing hanging on hooks were Christmas ornaments.,The Chilling Season,Survivor,Uncommon,images/Customization/Charms/TO_033.png
UN_Charm003,Fog Whisperers,"Artfully crafted from marble and jade, and awarded to those who lead a path through this realm's roiling mists.",,General,Artifact,images/Customization/Charms/UN_Charm003.png
UN_Charm004,Scribe of The Entity,You are one of the few who can help to translate The Entity's arcane tongue into something mortals can understand. Take heed not to absorb too much - that way madness lies!,,General,Artifact,images/Customization/Charms/UN_Charm004.png
UN_Charm005,Ban Hammer,You are one of the few who keeps the campfire safe. This precious charm represents the hammer of justice: wield it well.,,General,Artifact,images/Customization/Charms/UN_Charm005.png
VI_001,Iron Entity Abstract,A conceptual model of The Entity. The light rusting may be intentional.,Escalation,General,Uncommon,images/Customization/Charms/VI_001.png
VI_002,Bronze Entity Abstract,"A conceptual model of The Entity. Though the metal remains strong, it rings hollow within.",Escalation,General,Rare,images/Customization/Charms/VI_002.png
VI_003,Gold Entity Abstract,"A conceptual model of The Entity. Though lacking magnetism, the carving attracts itself to certain people.",Escalation,General,Very Rare,images/Customization/Charms/VI_003.png
VI_004,Astral Entity Abstract,"A conceptual model of The Entity. Though beautiful, it evokes anxiety in those who hold it.",Escalation,General,Ultra Rare,images/Customization/Charms/VI_004.png
VI_005,Peak 22 Keychain,"Memorabilia from an ambitious, yet doomed-to-fail, social media company.",Survivor Memorabilia,Survivor,Uncommon,images/Customization/Charms/VI_005.png
VI_006,Hawaiian Slice,"A highly controversial statement that yes, pineapple belongs on pizza.",Survivor Memorabilia,Survivor,Rare,images/Customization/Charms/VI_006.png
VI_007,Kate's Guitar,"An acoustic guitar, perfectly tuned and engraved with flowers.",Survivor Memorabilia,Survivor,Rare,images/Customization/Charms/VI_007.png
VI_008,Kate Denson Figurine,"A hopeful songbird, Kate lifted others' spirits when all seemed lost.",Vinyl Dolls,Survivor,Very Rare,images/Customization/Charms/VI_008.png
VI_009,Music of Pearl,"A music note formed from mother of pearl, glittering with luminosity.",Survivor Memorabilia,Survivor,Uncommon,images/Customization/Charms/VI_009.png
VI_010,Horse Head,"A grotesque trophy, taken from the remains of a cavalry unit.",Killer Memorabilia,Killer,Rare,images/Customization/Charms/VI_010.png
VI_011,Bunny Hood Doll,"A worn-down doll, soiled, reeking, and cherished above all.",Killer Memorabilia,Killer,Very Rare,images/Customization/Charms/VI_011.png
VI_012,Tree of Life,"A symbol of life, though from another perspective, it's the vessel that ferries one to death.",Mythical Relics,General,Uncommon,images/Customization/Charms/VI_012.png
VI_013,Ouroboros,"And so, as it ends, it begins.",Mythical Relics,General,Common,images/Customization/Charms/VI_013.png
VI_014,Triple Moon,"A symbol of birth, life, and death. The finality of the waning moon seems incongruous in The Entity's realm.",Mythical Relics,General,Common,images/Customization/Charms/VI_014.png
VI_015,Flower of Life,A key to unlocking sacred wisdom or a trifling bauble,Mythical Relics,General,Common,images/Customization/Charms/VI_015.png
VI_016,Peak 22 Thermos,Distributed to employees to boost morale in lieu of a bonus.,Survivor Memorabilia,Survivor,Rare,images/Customization/Charms/VI_016.png
VI_017,Simulation Terror,The critics agree: “Simulation Terror is a terror to read!”,Survivor Memorabilia,Survivor,Common,images/Customization/Charms/VI_017.png
VI_018,Rusted Horseshoe,The few who hold a remnant of hope and innocence believe it bestows luck.,Into the Unknown,Killer,Uncommon,images/Customization/Charms/VI_018.png
VI_019,Killer Tunes,Every great murder has a soundtrack.,Killer Memorabilia,Killer,Uncommon,images/Customization/Charms/VI_019.png
VI_020,Screaming Speakers,There was a discordance to the damaged speakers that gave them a unique sound all to themselves.,Killer Memorabilia,Killer,Rare,images/Customization/Charms/VI_020.png
VI_021,Vaporius Hexahedron,A finely crafted container that stimulates a wisp of ever-changing Fog.,Into the Unknown,General,Ultra Rare,images/Customization/Charms/VI_021.png
VI_022,Timekeeper,A relic that's incapable of measuring time in this realm.,Into the Unknown,General,Rare,images/Customization/Charms/VI_022.png
VI_023,Forsaken Child,"The trinket of a child, alone, cold, and terrified.",Remarkable Journeys,Killer,Common,images/Customization/Charms/VI_023.png
VI_024,Reclusive Scavenger,"The trinket of a teenager, searching for a morsel.",Remarkable Journeys,Killer,Common,images/Customization/Charms/VI_024.png
VI_025,Clever Hunter,"The trinket of a woman, taking fate into her own hands.",Remarkable Journeys,Killer,Common,images/Customization/Charms/VI_025.png
VI_026,Ruthless Predator,"The trinket of a killer, stalking those who approach her home.",Remarkable Journeys,Killer,Common,images/Customization/Charms/VI_026.png
VI_027,Deadly Terror,"The trinket of a monster, asserting dominance over all in her forest.",Remarkable Journeys,Killer,Uncommon,images/Customization/Charms/VI_027.png
VI_028,Child's Melody,"With quiet confidence, Kate picked up the guitar.",Remarkable Journeys,Survivor,Common,images/Customization/Charms/VI_028.png
VI_029,Strummer's Melody,"Sometimes Kate's fingers missed a chord, but it didn't deter her.",Remarkable Journeys,Survivor,Common,images/Customization/Charms/VI_029.png
VI_030,Singer's Melody,Kate's voice had a natural cadence that made people want to listen.,Remarkable Journeys,Survivor,Common,images/Customization/Charms/VI_030.png
VI_031,Musician's Melody,"Kate combined the guitar with her voice, as if it was a single part of her.",Remarkable Journeys,Survivor,Common,images/Customization/Charms/VI_031.png
VI_032,Songbird's Melody,"There was a spark of hope that Kate kept in her voice, wherever she went. It was of greater importance than she'd know.",Remarkable Journeys,Survivor,Uncommon,images/Customization/Charms/VI_032.png
VI_033,Unlimited Entity-Wide,Hello? The mobile realm awaits your sacrifice.,Dropped Call,General,Rare,images/Customization/Charms/VI_033.png
WA_001,Seal of Metatron,A symbolic amulet emanating a dark and ominous force.,Immemorial Talisman,General,Uncommon,images/Customization/Charms/WA_001.png
WA_002,Vic Viper,A tribute to the white-and-blue star fighter tasked with saving the galaxy from an evil Bacterian Empire.,Gradius Memento,General,Very Rare,images/Customization/Charms/WA_002.png
WA_003,Year 4 Cake,"A crumbling cake emanating a dark and ominous force. ""Happy anniversary! Here’s to four years of spilling blood together!""",4th Anniversary 3D Cake,General,Rare,images/Customization/Charms/WA_003.png
WA_004,4th Anniversary,A tribute to celebrate the fourth year of Dead by Daylight.,4th Anniversary 2D Logo,General,Uncommon,images/Customization/Charms/WA_004.png
XI_001,Enigmatic Glyph,An unusual glyph that hints at a mystery within.,Conviction,General,Uncommon,images/Customization/Charms/XI_001.png
XI_002,Amplified Glyph,"An activated glyph, buzzing with a dangerous energy.",Conviction,General,Rare,images/Customization/Charms/XI_002.png
XI_003,Stabilized Glyph,"A temporarily stable glyph, opening to something far beyond our understanding.",Conviction,General,Very Rare,images/Customization/Charms/XI_003.png
XI_004,Chaotic Glyph,"A glyph overwhelmed with unstable energy, breaking under the weight of existence.",Conviction,General,Ultra Rare,images/Customization/Charms/XI_004.png
XI_005,Lucky Chip,A keychain that Ace used as a card guard during one of his biggest Texas hold'em scores.,Survivor Memorabilia,Survivor,Uncommon,images/Customization/Charms/XI_005.png
XI_006,Stopped Stopwatch,It's a stopwatch that takes its name far too literally.,Survivor Memorabilia,Survivor,Rare,images/Customization/Charms/XI_006.png
XI_007,"Uh, Oh's Shot Glass","Uh, Oh's Pub & Grill is the place to be for off-beat and unusual Vegas bets.",Survivor Memorabilia,Survivor,Rare,images/Customization/Charms/XI_007.png
XI_008,Meg Thomas Figurine,"Fast out of the gates, Meg's sprint burst earned her a shiny gold medal.",Vinyl Dolls,Survivor,Very Rare,images/Customization/Charms/XI_008.png
XI_009,Trey Aces,"If you ever need an ace up your sleeve, here's three.",Survivor Memorabilia,Survivor,Uncommon,images/Customization/Charms/XI_009.png
XI_010,The Calamitous Bell,"Run while the bell tolls, run o soul forsaken.",Killer Memorabilia,Killer,Rare,images/Customization/Charms/XI_010.png
XI_011,Catalyst of Madness,"In the ashes, the embers burn red hot.",Horrible Dolls,Killer,Very Rare,images/Customization/Charms/XI_011.png
XI_012,Sizzling Grill,A well-used grill smelling of blood and meat.,Summer Sizzle,General,Uncommon,images/Customization/Charms/XI_012.png
XI_013,Yesterday's Sandals,"A melancholy image of sandals, worn during simpler, care-free days.",Summer Sizzle,General,Common,images/Customization/Charms/XI_013.png
XI_014,Magnificent Conch,"An uninhabited shell like many others, yet spectacular nonetheless.",Summer Sizzle,General,Common,images/Customization/Charms/XI_014.png
XI_015,Wormy Opener,And this is why you don't open cans of worms.,Summer Sizzle,General,Common,images/Customization/Charms/XI_015.png
XI_016,Can of Worms,"General wisdom states that a can of worms should never be opened, yet here we are.",Summer Sizzle,General,Rare,images/Customization/Charms/XI_016.png
XI_017,Marshmallow Branch,A stalk of wood vastly improved with the addition of high sugar treats.,Summer Sizzle,Survivor,Common,images/Customization/Charms/XI_017.png
XI_018,Autohaven Wreckers,We'll wreck anything you bring in—no questions asked.,Killer Memorabilia,Killer,Uncommon,images/Customization/Charms/XI_018.png
XI_019,Blackened Catalyst,What appears as a benign symbol can hold the very power of death.,Killer Memorabilia,Killer,Uncommon,images/Customization/Charms/XI_019.png
XI_020,Death Wreck,"It's a wrecked car or, from another point of view, an affordable coffin made of reliable American steel.",Killer Memorabilia,Killer,Rare,images/Customization/Charms/XI_020.png
XI_021,Tiki Death Cup,A refreshing summer beverage that carries a terrible curse.,Summer Sizzle,General,Ultra Rare,images/Customization/Charms/XI_021.png
XI_022,Grimy Shackles,"In these restraints her spirit broke, until all that remained was a terrible hunger.",Killer Memorabilia,Killer,Rare,images/Customization/Charms/XI_022.png
XI_023,Playful Poltergeist,"For all the trauma that existed in the world, he was still a child with childish hopes.",Killer Memorabilia,Killer,Common,images/Customization/Charms/XI_023.png
XI_024,Startled Poltergeist,"When the men came, he only knew to do one thing—hide.",Path of Discovery,Killer,Common,images/Customization/Charms/XI_024.png
XI_025,Vengeful Poltergeist,He killed the men for what they did. He made them howl in pain.,Path of Discovery,Killer,Common,images/Customization/Charms/XI_025.png
XI_026,Roaming Poltergeist,He wanted to believe that things in a new land could be better.,Path of Discovery,Killer,Common,images/Customization/Charms/XI_026.png
XI_027,Wrathful Poltergeist,"Wrath overcame him, but even then he resisted—until something unknown, something unnatural, twisted him.",Path of Discovery,Killer,Uncommon,images/Customization/Charms/XI_027.png
XI_028,Backstreet Champ,"She moved fast through the alleys, but how far could speed take her?",Path of Discovery,Survivor,Common,images/Customization/Charms/XI_028.png
XI_029,Fledgling Champ,She had a lot to learn before the track meet and not a lot of time to learn it.,Path of Discovery,Survivor,Common,images/Customization/Charms/XI_029.png
XI_030,School Champ,"She might just be the fastest in her school, but she'd have to prove it.",Path of Discovery,Survivor,Common,images/Customization/Charms/XI_030.png
XI_031,Broken Champ,"She was so close to her goal, but an injury stopped her dead in her tracks.",Path of Discovery,Survivor,Common,images/Customization/Charms/XI_031.png
XI_032,State Champ,She gritted her teeth through injury and persevered over all.,Path of Discovery,Survivor,Uncommon,images/Customization/Charms/XI_032.png
ZA_001,Pustula Husk,"The withered seed of a pustula flower, slowly turning to dust.",Unleashed,General,Uncommon,images/Customization/Charms/ZA_001.png
ZA_002,Pustula Seedling,A sprout paradoxically enlivened by its death.,Unleashed,General,Rare,images/Customization/Charms/ZA_002.png
ZA_003,Pustula Bud,A tight pustula bulb showing signs of the unusual orange liquid within.,Unleashed,General,Very Rare,images/Customization/Charms/ZA_003.png
ZA_004,Pustula Flower,"A vibrant flower, weeping with a mysterious substance, signaling the season of a new blight.",Unleashed,General,Ultra Rare,images/Customization/Charms/ZA_004.png
ZA_005,Adam’s Passport,"The document that brought Adam to Japan and, in turn, The Entity’s realm.",Survivor Memorabilia,Survivor,Uncommon,images/Customization/Charms/ZA_005.png
ZA_006,Nea's Spray Paint,The primary weapon in Nea’s arsenal against the establishment.,Survivor Memorabilia,Survivor,Rare,images/Customization/Charms/ZA_006.png
ZA_007,Ol’ Reliable,"Adam’s unreliable scooter with an ironic name. Though he had other names for it, they’re better left unsaid.",Survivor Memorabilia,Survivor,Rare,images/Customization/Charms/ZA_007.png
ZA_008,Nea Karlsson Figurine,Nea had a message to send and she wrote it in paint.,Vinyl Dolls,Survivor,Very Rare,images/Customization/Charms/ZA_008.png
ZA_009,Mashtyx Tag,Nea’s iconic tag that can still be seen along city streets.,Survivor Memorabilia,Survivor,Uncommon,images/Customization/Charms/ZA_009.png
ZA_010,K9 Collar,The thin strap that’s hopefully enough to control a sheriff’s dog.,Killer Memorabilia,Killer,Rare,images/Customization/Charms/ZA_010.png
ZA_011,Rosie the Prize Hog,A prize-winning pig whose victory was celebrated with a good ol’ fashioned barbeque.,Killer Memorabilia,Killer,Very Rare,images/Customization/Charms/ZA_011.png
ZA_012,Transistor Radio,An item cherished by The Observer for its quaint simplicity.,The Desolate Prisoner,General,Uncommon,images/Customization/Charms/ZA_012.png
ZA_013,Protest Flyer,A flyer that rallied against the pollution of a local water supply.,Survivor Memorabilia,Survivor,Common,images/Customization/Charms/ZA_013.png
ZA_014,Finger Lickers,A fun alternative to corndogs that the kids are sure to love.,Killer Memorabilia,Killer,Common,images/Customization/Charms/ZA_014.png
ZA_015,Solemn Reprieve,Aged whiskey that helped The Observer through the eternal nights.,The Desolate Prisoner,General,Common,images/Customization/Charms/ZA_015.png
ZA_016,Stuffed Crow,"A crow that underwent the careful examination of The Observer, in an attempt to decipher the realm’s secrets.",The Desolate Prisoner,General,Rare,images/Customization/Charms/ZA_016.png
ZA_017,Japanese Learning,A book that helped Adam stumble his way through conversations in Japan.,Survivor Memorabilia,Survivor,Common,images/Customization/Charms/ZA_017.png
ZA_018,Coldwind Farm Keychain,A picturesque setting that glosses over the child imprisoned within.,Killer Memorabilia,Killer,Uncommon,images/Customization/Charms/ZA_018.png
ZA_019,Maurice the Great Mystic,A keychain that captures the likeness of The Clown’s deformed horse.,Killer Memorabilia,Killer,Uncommon,images/Customization/Charms/ZA_019.png
ZA_020,Mangled Unicorn,A carnival prize with a gaping entry wound that bleeds stuffing.,Killer Memorabilia,Killer,Rare,images/Customization/Charms/ZA_020.png
ZA_021,Dendrite Cluster,A sample of nerve tissue that reacts strangely to The Fog. A means to escape or a dead end?,The Desolate Prisoner,General,Ultra Rare,images/Customization/Charms/ZA_021.png
ZA_022,Mayor’s Pride,"The mayor’s prized car, having recently undergone a custom paint job.",Survivor Memorabilia,Survivor,Rare,images/Customization/Charms/ZA_022.png
ZA_023,Caged Maniac,"He may not have been born mad, but the confines of his home left him that way.",Freedom Fighter,Killer,Common,images/Customization/Charms/ZA_023.png
ZA_024,Unshackled Maniac,"He expressed himself in violence, and from him death arose.",Freedom Fighter,Killer,Common,images/Customization/Charms/ZA_024.png
ZA_025,Endangered Maniac,He wouldn’t allow himself to be confined again. He’d fight back.,Freedom Fighter,Killer,Common,images/Customization/Charms/ZA_025.png
ZA_026,Fugitive Maniac,They couldn’t catch him. And if they did... he’d kill them.,Freedom Fighter,Killer,Common,images/Customization/Charms/ZA_026.png
ZA_027,Liberated Maniac,"He fought for his freedom with blood. The nightmare was over, while for others it was just beginning.",Freedom Fighter,Killer,Uncommon,images/Customization/Charms/ZA_027.png
ZA_028,Uncompromising Iconoclast,Nea was prepared to fight any injustice. There was no compromise.,Freedom Fighter,Survivor,Common,images/Customization/Charms/ZA_028.png
ZA_029,Loyal Iconoclast,"When her friends rose up, she took to the streets with them.",Freedom Fighter,Survivor,Common,images/Customization/Charms/ZA_029.png
ZA_030,Rebellious Iconoclast,She refused to follow the rules.,Freedom Fighter,Survivor,Common,images/Customization/Charms/ZA_030.png
ZA_031,Organized Iconoclast,"Her spray paint was her weapon in the fight, her skateboard a means of escape.",Freedom Fighter,Survivor,Common,images/Customization/Charms/ZA_031.png
ZA_032,Evacuating Iconoclast,The outcome was worse than she expected—she had to flee fast.,Freedom Fighter,Survivor,Uncommon,images/Customization/Charms/ZA_032.png
ZA_033,Blighted Jack,A jack-o-lantern that became a test subject for blight serum.,Halloween,General,Rare,images/Customization/Charms/ZA_033.png
ZA_034,Perk Treats,A bucket of candy perks. No one seems to have touched the This Is Not Happening candies.,Halloween,General,Uncommon,images/Customization/Charms/ZA_034.png
ZA_035,Dwightcrow,The crows don’t seem afraid of this at all...,Halloween,Killer,Very Rare,images/Customization/Charms/ZA_035.png
ZA_036,Trap-o-Lantern,A good mask makes the murderer.,Halloween,Survivor,Very Rare,images/Customization/Charms/ZA_036.png
